LSOA21CD,LSOA21NM,borough,inner_outer,population,charger_count,chargers_per_10k,pct_car_owning_households,pct_flats_apartments,imd_decile,priority_score
E01004386,Waltham Forest 003C,Waltham Forest,Outer,1744.0,2.0,11.46788990825688,88.28967642526965,7.4074074074074066,10,40.23
E01001789,Hackney 015C,Hackney,Inner,1785.0,6.0,33.61344537815126,49.919999999999995,40.160000000000004,4,40.22
E01004006,Southwark 023E,Southwark,Inner,1831.0,31.0,169.30638995084652,50.50632911392405,44.740177439797215,4,40.22
E01000209,Barnet 035B,Barnet,Outer,1495.0,0.0,0.0,71.02425876010781,18.842530282637952,8,40.22
E01004362,Waltham Forest 021A,Waltham Forest,Outer,1620.0,8.0,49.382716049382715,59.40740740740741,65.08875739644971,5,40.21
E01003195,Lewisham 029C,Lewisham,Inner,1504.0,1.0,6.648936170212766,66.18357487922705,27.858293075684383,5,40.21
E01035692,Tower Hamlets 024E,Tower Hamlets,Inner,1427.0,3.0,21.023125437981783,30.36649214659686,97.73123909249564,3,40.2
E01000366,Bexley 015D,Bexley,Outer,1605.0,1.0,6.230529595015576,77.84522003034901,15.629742033383915,8,40.2
E01004164,Sutton 004A,Sutton,Outer,1476.0,1.0,6.775067750677507,78.15533980582524,33.00970873786408,8,40.2
E01034143,Croydon 020H,Croydon,Outer,1447.0,2.0,13.8217000691085,22.27204783258595,97.75784753363229,3,40.19
E01001938,Hammersmith and Fulham 025D,Hammersmith and Fulham,Inner,1522.0,13.0,85.41392904073587,47.151898734177216,76.10759493670885,3,40.19
E01000818,Bromley 040B,Bromley,Outer,1662.0,2.0,12.03369434416366,89.358372456964,10.641627543035993,9,40.18
E01002742,Islington 006A,Islington,Inner,2022.0,5.0,24.727992087042534,49.159663865546214,55.1048951048951,8,40.17
E01034604,Hillingdon 015J,Hillingdon,Outer,1495.0,2.0,13.377926421404682,61.412151067323485,53.84615384615385,5,40.16
E01034185,Greenwich 037G,Greenwich,Outer,1201.0,0.0,0.0,47.227191413237925,46.25,5,40.16
E01002854,Kensington and Chelsea 001C,Kensington and Chelsea,Inner,1057.0,4.0,37.842951750236516,35.07625272331155,93.01310043668121,2,40.15
E01003779,Redbridge 014F,Redbridge,Outer,1619.0,2.0,12.353304508956146,66.7590027700831,41.689750692520775,7,40.14
E01002010,Haringey 030C,Haringey,Inner,1600.0,1.0,6.25,58.30945558739254,38.39541547277937,6,40.14
E01033603,Westminster 009I,Westminster,Inner,1322.0,4.0,30.2571860816944,25.888324873096447,97.47048903878583,2,40.13
E01004756,Westminster 006E,Westminster,Inner,1485.0,10.0,67.34006734006735,33.55525965379494,96.40479360852197,3,40.13
E01000659,Bromley 039E,Bromley,Outer,1390.0,0.0,0.0,95.41108986615679,3.4482758620689653,9,40.12
E01000847,Camden 014D,Camden,Inner,1595.0,4.0,25.078369905956112,50.24232633279483,76.86084142394822,5,40.11
E01000997,Croydon 009D,Croydon,Outer,1522.0,1.0,6.570302233902759,65.71428571428571,17.88617886178862,4,40.11
E01002872,Kensington and Chelsea 005B,Kensington and Chelsea,Inner,1313.0,4.0,30.464584920030465,39.083969465648856,77.6416539050536,2,40.11
E01004499,Wandsworth 020A,Wandsworth,Inner,1587.0,2.0,12.60239445494644,53.55113636363637,75.320970042796,7,40.09
E01000278,Barnet 020B,Barnet,Outer,1483.0,0.0,0.0,92.29249011857708,2.584493041749503,10,40.08
E01000446,Bexley 024D,Bexley,Outer,1513.0,0.0,0.0,87.91946308724832,3.3557046979865772,10,40.08
E01004161,Sutton 014E,Sutton,Outer,1499.0,1.0,6.6711140760507,85.6198347107438,24.874791318864776,9,40.07
E01001881,Hammersmith and Fulham 017B,Hammersmith and Fulham,Inner,1922.0,20.0,104.05827263267429,43.90243902439025,67.07317073170732,6,40.07
E01000667,Bromley 033C,Bromley,Outer,1656.0,1.0,6.038647342995169,92.34449760765551,1.6,10,40.05
E01001289,Ealing 022C,Ealing,Outer,1331.0,1.0,7.513148009015778,74.84276729559748,28.15126050420168,5,40.05
E01000558,Brent 015F,Brent,Outer,1364.0,4.0,29.32551319648094,45.794392523364486,79.12772585669782,3,40.04
E01002980,Kingston upon Thames 012C,Kingston upon Thames,Outer,1440.0,0.0,0.0,91.8580375782881,0.41753653444676403,9,40.04
E01000815,Bromley 025E,Bromley,Outer,1494.0,0.0,0.0,93.58288770053476,0.7130124777183601,10,40.04
E01033792,Bexley 019H,Bexley,Outer,1432.0,1.0,6.983240223463687,79.15936952714536,28.7215411558669,7,40.03
E01001019,Croydon 044B,Croydon,Outer,1486.0,0.0,0.0,86.6779089376054,7.2758037225042305,10,40.03
E01002006,Haringey 035B,Haringey,Inner,1513.0,1.0,6.609385327164574,45.26588845654994,84.19689119170984,7,40.02
E01001096,Croydon 037D,Croydon,Outer,1455.0,0.0,0.0,89.49343339587243,7.142857142857142,10,40.02
E01004652,Westminster 017A,Westminster,Inner,1640.0,2.0,12.195121951219512,20.352941176470587,98.47058823529412,5,40.01
E01003095,Lambeth 012E,Lambeth,Inner,1600.0,2.0,12.5,47.05035971223022,76.01156069364163,6,39.99
E01000390,Bexley 020F,Bexley,Outer,1373.0,0.0,0.0,85.43689320388349,11.86770428015564,9,39.98
E01003140,Lambeth 035B,Lambeth,Inner,1501.0,0.0,0.0,69.02834008097166,4.056795131845842,6,39.98
E01000416,Bexley 002A,Bexley,Outer,1524.0,1.0,6.561679790026246,68.62745098039215,10.588235294117647,4,39.98
E01001116,Croydon 013F,Croydon,Outer,1581.0,2.0,12.65022137887413,53.63036303630363,26.68863261943987,3,39.96
E01002916,Kingston upon Thames 014B,Kingston upon Thames,Outer,1511.0,0.0,0.0,85.55347091932458,5.992509363295881,10,39.96
E01004337,Waltham Forest 027B,Waltham Forest,Outer,1766.0,4.0,22.650056625141563,49.76816074188562,18.856259659969087,3,39.96
E01003971,Southwark 015D,Southwark,Inner,1371.0,2.0,14.587892049598834,31.31115459882583,95.703125,3,39.96
E01003955,Southwark 028B,Southwark,Inner,1872.0,23.0,122.86324786324786,57.72558714462299,49.44375772558715,6,39.96
E01003822,Richmond upon Thames 023A,Richmond upon Thames,Outer,1451.0,0.0,0.0,95.80152671755725,4.3893129770992365,10,39.95
E01000288,Barnet 004C,Barnet,Outer,1549.0,1.0,6.455777921239509,80.84358523725835,12.61101243339254,7,39.94
E01002146,Harrow 004B,Harrow,Outer,1416.0,0.0,0.0,94.09448818897637,7.341269841269842,10,39.93
E01000266,Barnet 011B,Barnet,Outer,1466.0,0.0,0.0,91.51873767258382,4.52755905511811,10,39.92
E01001184,Croydon 011F,Croydon,Outer,1330.0,0.0,0.0,71.74887892376681,12.080536912751679,6,39.91
E01000319,Barnet 027F,Barnet,Outer,1342.0,0.0,0.0,81.52610441767068,19.114688128772634,9,39.9
E01002845,Kensington and Chelsea 019B,Kensington and Chelsea,Inner,1229.0,2.0,16.273393002441008,38.273615635179155,85.50488599348535,3,39.9
E01001841,Hackney 022C,Hackney,Inner,1380.0,2.0,14.492753623188404,45.714285714285715,63.70839936608558,3,39.89
E01000370,Bexley 014D,Bexley,Outer,1593.0,1.0,6.277463904582548,80.12618296529969,13.543307086614172,8,39.88
E01003471,Merton 016E,Merton,Outer,1743.0,4.0,22.948938611589213,78.39116719242902,30.126182965299687,9,39.85
E01004367,Waltham Forest 019D,Waltham Forest,Outer,1600.0,3.0,18.75,53.39622641509434,33.77358490566038,3,39.85
E01033571,Richmond upon Thames 004H,Richmond upon Thames,Outer,1539.0,3.0,19.49317738791423,75.08250825082509,35.960591133004925,6,39.84
E01000001,City of London 001A,City of London,Inner,1829.0,6.0,32.804811372334605,33.691756272401435,98.08841099163679,8,39.84
E01002927,Kingston upon Thames 008A,Kingston upon Thames,Outer,1689.0,3.0,17.761989342806395,74.80438184663537,23.136645962732917,7,39.84
E01004487,Wandsworth 030C,Wandsworth,Inner,1472.0,1.0,6.793478260869565,50.641940085592005,79.54220314735336,7,39.83
E01002437,Hillingdon 006E,Hillingdon,Outer,1404.0,0.0,0.0,87.11864406779661,13.536379018612521,10,39.83
E01001209,Ealing 013A,Ealing,Outer,1640.0,3.0,18.29268292682927,80.58103975535168,27.14723926380368,8,39.81
E01001069,Croydon 040A,Croydon,Outer,1356.0,0.0,0.0,88.93280632411067,14.257425742574256,10,39.8
E01003699,Redbridge 006B,Redbridge,Outer,1569.0,2.0,12.746972594008922,77.02702702702703,20.508474576271183,6,39.8
E01004731,Westminster 020A,Westminster,Inner,2120.0,8.0,37.735849056603776,26.51880424300868,94.60500963391137,9,39.79
E01001383,Ealing 028D,Ealing,Outer,1789.0,5.0,27.94857462269424,67.95069337442219,33.281972265023114,7,39.78
E01004408,Waltham Forest 016B,Waltham Forest,Outer,1665.0,2.0,12.012012012012011,49.507735583684955,47.11673699015471,5,39.77
E01003235,Lewisham 038A,Lewisham,Inner,1455.0,5.0,34.36426116838488,70.8253358925144,27.724665391969406,3,39.77
E01001868,Hammersmith and Fulham 012C,Hammersmith and Fulham,Inner,1277.0,8.0,62.64682850430697,29.898648648648653,98.15436241610739,2,39.77
E01002259,Havering 018D,Havering,Outer,1506.0,0.0,0.0,82.78145695364239,3.4710743801652892,9,39.75
E01002376,Havering 012C,Havering,Outer,1419.0,0.0,0.0,93.92789373814043,6.2857142857142865,10,39.75
